"","State.Name","City.Name","County.Name","Latitude","Longitude","Parameter.Name","Units.of.Measure","Metric.Used","Sample.Duration","Arithmetic.Mean"
"30","New York","Albany","Albany",42.68075,-73.75733,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041423
"31","New York","New York","Bronx",40.816,-73.902,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.039045
"32","New York","New York","Bronx",40.8679,-73.87809,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.040584
"33","New York","Dunkirk","Chautauqua",42.49963,-79.31881,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043766
"34","New York","Millbrook","Dutchess",41.78555,-73.74136,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.039825
"35","New York","Amherst","Erie",42.99328,-78.77153,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.044556
"36","New York","","Essex",44.36608,-73.90312,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.039792
"37","New York","","Essex",44.39308,-73.8589,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.039946
"38","New York","","Essex",43.9731,-74.2232,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.035
"39","New York","","Franklin",44.980577,-74.695005,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.033941
"40","New York","","Franklin",44.980577,-74.695005,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.035047
"41","New York","","Hamilton",43.44957,-74.51625,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.039464
"42","New York","","Herkimer",43.68578,-74.98538,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.036682
"43","New York","","Jefferson",44.08747,-75.97316,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.039127
"44","New York","Rochester","Monroe",43.14618,-77.54817,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.039812
"45","New York","New York","New York",40.81976,-73.94825,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.036121
"46","New York","Middleport","Niagara",43.22386,-78.47888,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.039656
"47","New York","East Syracuse","Onondaga",43.05235,-76.05921,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.039415
"48","New York","Montgomery","Orange",41.52375,-74.21534,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.034083
"49","New York","Fulton","Oswego",43.28428,-76.46324,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.038033
"50","New York","","Putnam",41.45589,-73.70977,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.038717
"51","New York","New York","Queens",40.73614,-73.82153,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041837
"52","New York","New York","Richmond",40.59664,-74.12525,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043081
"53","New York","","Rockland",41.18208,-74.02819,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041403
"54","New York","","Saratoga",43.01209,-73.6489,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.037737
"55","New York","","Steuben",42.09142,-77.20978,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.037817
"56","New York","East Farmingdale","Suffolk",40.74529,-73.41919,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.042517
"57","New York","Riverhead","Suffolk",40.96078,-72.71238,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.045739
"58","New York","Holtsville","Suffolk",40.82799,-73.05754,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043246
"59","New York","","Tompkins",42.4006,-76.6538,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041616
"60","New York","","Wayne",43.23086,-77.17136,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041654
"61","New York","White Plains","Westchester",41.05192,-73.76366,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.042502
"62","Pennsylvania","","Adams",39.9231,-77.3078,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.045897
"63","Pennsylvania","Pittsburgh","Allegheny",40.46542,-79.960757,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.040849
"64","Pennsylvania","Pittsburgh","Allegheny",40.445577,-80.016155,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.045775
"65","Pennsylvania","McDonald","Allegheny",40.375644,-80.169943,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043421
"66","Pennsylvania","Harrison Township","Allegheny",40.613949,-79.72941,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.044322
"67","Pennsylvania","Kittanning","Armstrong",40.814183,-79.56475,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.048218
"68","Pennsylvania","","Beaver",40.56252,-80.503948,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.044799
"69","Pennsylvania","","Beaver",40.684722,-80.359722,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043626
"70","Pennsylvania","Beaver Falls","Beaver",40.747796,-80.316442,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041323
"71","Pennsylvania","","Berks",40.51408,-75.789721,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041411
"72","Pennsylvania","","Berks",40.38335,-75.9686,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.04461
"73","Pennsylvania","Altoona","Blair",40.535278,-78.370833,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.042304
"74","Pennsylvania","","Bradford",41.705226,-76.512726,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.035836
"75","Pennsylvania","Bristol","Bucks",40.107222,-74.882222,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.044535
"76","Pennsylvania","Johnstown","Cambria",40.309722,-78.915,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041783
"77","Pennsylvania","State College","Centre",40.811389,-77.877028,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041846
"78","Pennsylvania","","Centre",40.7208,-77.9319,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043881
"79","Pennsylvania","","Chester",39.834461,-75.768242,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.044188
"80","Pennsylvania","","Clearfield",41.1175,-78.526194,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043577
"81","Pennsylvania","","Dauphin",40.246992,-76.846988,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.04259
"82","Pennsylvania","Hershey","Dauphin",40.272222,-76.681389,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.044773
"83","Pennsylvania","Chester","Delaware",39.835556,-75.3725,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043612
"84","Pennsylvania","","Elk",41.598119,-78.767867,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.042916
"85","Pennsylvania","Erie","Erie",42.14175,-80.038611,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.042197
"86","Pennsylvania","","Franklin",39.961111,-77.475556,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.048371
"87","Pennsylvania","","Greene",39.80933,-80.26567,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.04316
"88","Pennsylvania","","Indiana",40.56333,-78.919972,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.045876
"89","Pennsylvania","Blakely","Lackawanna",41.479116,-75.578186,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.044534
"90","Pennsylvania","Scranton","Lackawanna",41.442778,-75.623056,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.042709
"91","Pennsylvania","Lancaster","Lancaster",40.046667,-76.283333,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.044671
"92","Pennsylvania","","Lancaster",40.043833,-76.1124,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043014
"93","Pennsylvania","New Castle","Lawrence",40.995848,-80.346442,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.042371
"94","Pennsylvania","","Lebanon",40.337328,-76.383447,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.046601
"95","Pennsylvania","Allentown","Lehigh",40.611944,-75.4325,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.044858
"96","Pennsylvania","Nanticoke","Luzerne",41.209167,-76.003333,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.040439
"97","Pennsylvania","Wilkes-Barre","Luzerne",41.265556,-75.846389,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041608
"98","Pennsylvania","Montoursville","Lycoming",41.2508,-76.9238,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.04299
"99","Pennsylvania","Farrell","Mercer",41.215014,-80.484779,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.044574
"100","Pennsylvania","","Mercer",41.4271,-80.1451,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041408
"101","Pennsylvania","","Monroe",41.08306,-75.32328,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.041425
"102","Pennsylvania","Norristown","Montgomery",40.112222,-75.309167,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.044362
"103","Pennsylvania","Freemansburg","Northampton",40.628056,-75.341111,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.04435
"104","Pennsylvania","Wilson","Northampton",40.692224,-75.237156,"Ozone","Parts per million","Daily maximum of 8-hour running average","8-HR RUN AVG BEGIN HOUR",0.043695
